0|5/4/2023 12:00:00 AM|5/7/2023 12:00:00 AM|0|0|4|False
1|4/15/2023 12:00:00 AM|4/22/2023 12:00:00 AM|0|0|4|False
2|4/23/2023 12:00:00 AM|4/25/2023 12:00:00 AM|0|0|4|False
3|5/6/2023 12:00:00 AM|5/10/2023 12:00:00 AM|0|0|6|False
4|4/4/2023 12:00:00 AM|4/7/2023 12:00:00 AM|0|0|4|False
5|3/4/2023 12:00:00 AM|3/7/2023 12:00:00 AM|0|0|4|False
6|3/14/2023 12:00:00 AM|3/17/2023 12:00:00 AM|0|0|4|False
7|3/24/2023 12:00:00 AM|3/27/2023 12:00:00 AM|0|0|4|False
8|1/4/2023 12:00:00 AM|1/7/2023 12:00:00 AM|0|0|4|False
9|1/14/2023 12:00:00 AM|1/17/2023 12:00:00 AM|0|0|4|False
10|1/24/2023 12:00:00 AM|1/27/2023 12:00:00 AM|0|0|4|False
11|5/14/2023 12:00:00 AM|5/18/2023 12:00:00 AM|0|3|4|False
12|5/15/2023 12:00:00 AM|5/17/2023 12:00:00 AM|0|4|4|True
13|5/15/2023 12:00:00 AM|5/17/2023 12:00:00 AM|0|5|2|True
14|5/15/2023 12:00:00 AM|5/18/2023 12:00:00 AM|0|9|3|True
